Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric",129.400000,-86.050000,90.000000,top
"C2","4.7pF","C_0805_2012Metric",146.100000,-77.500000,0.000000,top
"C3","1nF","C_0805_2012Metric",158.900000,-92.800000,90.000000,top
"C4","1nF","C_0805_2012Metric",165.200000,-100.900000,-90.000000,top
"C5","3.9pF","C_0805_2012Metric",159.700000,-77.200000,180.000000,top
"C6","47uF","CP_Elec_6.3x5.9",159.900000,-100.500000,-90.000000,top
"C7","22pF","C_0805_2012Metric",162.300000,-89.100000,180.000000,top
"C8","1nF","C_0805_2012Metric",169.600000,-85.300000,0.000000,top
"D1","BZV55-C15,115","D_MiniMELF",153.200000,-102.100000,-90.000000,top
"J1","Conn_01x02_Female","SMA_Amphenol_132203-12_Horizontal",121.400000,-88.000000,90.000000,top
"J2","Conn_01x02_Male","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",179.300000,-99.800000,-90.000000,top
"J3","Conn_01x02_Female","SMA_Amphenol_132203-12_Horizontal",180.350000,-88.000000,-90.000000,top
"L1","40nH","inductor_horizontal_6mm_5.5",133.350000,-77.800000,180.000000,top
"L2","60nH","inductor_horizontal_6mm_6.4mm",136.300000,-88.500000,-90.000000,top
"L3","80nH","inductor_horizontal_6mm_8mm",169.900000,-77.400000,-90.000000,top
"L4","200nH","inductor_horizontal_4mm_11mm",168.900000,-95.100000,90.000000,top
"Q1","BF_964S","TO-50_Long_Pad_SMT",151.960000,-83.100000,0.000000,top
"R1","220k","R_0805_2012Metric",155.000000,-96.900000,90.000000,top
"RV1","100k","Potentiometer_Bourns_3314J_Vertical",145.700000,-99.400000,90.000000,top
