"Source:","C:\Users\Marcin\Documents\KiCad\Projekty\Wzmacniacz różnicowy do PW3015 ver.3\Wzmacniacz różnicowy do PW3015 ver.3.kicad_sch"
"Date:","13.12.2023 19:30:11"
"Tool:","Eeschema 7.0.9"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","17"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C2","1","33u/25V","C_Polarized_Small","Capacitor_THT:CP_Radial_Tantal_D5.5mm_P5.00mm","Polarized capacitor, small symbol","",""
"C4","1","220u/35V","C_Polarized_Small","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Polarized capacitor, small symbol","",""
"C8","1","470u/35V","C_Polarized_Small","Capacitor_THT:CP_Radial_D10.0mm_P7.50mm","Polarized capacitor, small symbol","",""
"C9","1","100n","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol","",""
"D1","1","LED_Small","LED_Small","LED_THT:LED_D5.0mm","Light emitting diode, small symbol","",""
"D2","1","24V","D_Zener_Small","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","Zener diode, small symbol","",""
"J2","1","Conn_01x01_Pin","Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Horizontal","Generic connector, single row, 01x01, script generated","",""
"J3","1","Conn_01x03_Pin","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","Generic connector, single row, 01x03, script generated","",""
"Q1, Q9","2","BC858","BC858","Package_TO_SOT_SMD:SOT-23","0.1A Ic, 30V Vce, PNP Transistor, SOT-23","",""
"Q2","1","BC237","BC237","Package_TO_SOT_THT:TO-92_Wide","100mA Ic, 50V Vce, Epitaxial Silicon NPN Transistor, TO-92","",""
"R1","1","1k","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
"R2","1","330","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
"R3","1","5k1","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
"R4","1","100","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
"R10","1","620","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
"R11","1","10","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
