"Source:","C:\Users\Marcin\Documents\KiCad\Projekty\Wzmacniacz_PW3017_modyfikacja\Wzmacniacz_PW3017_modyfikacja.kicad_sch"
"Date:","13.12.2023 19:27:07"
"Tool:","Eeschema 7.0.9"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","75"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C9, C22","3","100n","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C2, C12, C18, C19","4","470u/35V","C_Polarized_Small","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Polarized capacitor, small symbol","",""
"C3, C10, C11","3","33u/25V","C_Polarized_Small","Capacitor_THT:CP_Radial_Tantal_D5.5mm_P5.00mm","Polarized capacitor, small symbol","",""
"C4, C16","2","220u/35V","C_Polarized_Small","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Polarized capacitor, small symbol","",""
"C5","1","10u/25V","C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Polarized capacitor, small symbol","",""
"C6","1","330p","C_Small","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C7","1","20p","C_Small","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol","",""
"C8","1","56p","C_Small","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol","",""
"C13","1","100u/25V","C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor","",""
"C14","1","47u/25V","C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Polarized capacitor, small symbol","",""
"C15","1","0.68u","C_Small","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","Unpolarized capacitor, small symbol","",""
"C17","1","0.1u","C_Small","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","Unpolarized capacitor, small symbol","",""
"C20, C21","2","100n","C_Small","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","Unpolarized capacitor, small symbol","",""
"D1","1","LED_Small","LED_Small","LED_THT:LED_D5.0mm","Light emitting diode, small symbol","",""
"D2","1","24V","D_Zener_Small","Diode_THT:D_DO-34_SOD68_P5.08mm_Vertical_KathodeUp","Zener diode, small symbol","",""
"J1","1","+VCC","Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","Generic connector, single row, 01x01, script generated","",""
"J2","1","OUT","Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","Generic connector, single row, 01x01, script generated","",""
"J3","1","INPUT","Conn_01x02","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J4","1","-VEE","Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","Generic connector, single row, 01x01, script generated","",""
"J5","1","GND","Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","Generic connector, single row, 01x01, script generated","",""
"JP1","1","Jumper_2_Open","Jumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","Jumper, 2-pole, open","",""
"L1","1","6uH","L_Small","Inductor_THT:L_Radial_D16.8mm_P12.07mm_Vishay_IHB-1","Inductor, small symbol","",""
"Q1, Q2","2","BC858","BC858","Package_TO_SOT_SMD:SOT-23","0.1A Ic, 30V Vce, PNP Transistor, SOT-23","",""
"Q3, Q8","2","BC237","BC237","Package_TO_SOT_THT:TO-92_Wide","100mA Ic, 50V Vce, Epitaxial Silicon NPN Transistor, TO-92","",""
"Q4, Q11","2","BC560C","PNP","Package_TO_SOT_THT:TO-92_Wide","Bipolar transistor symbol for simulation only, substrate tied to the emitter","",""
"Q5, Q7, Q9","3","BC848","BC848","Package_TO_SOT_SMD:SOT-23","0.1A Ic, 30V Vce, NPN Transistor, SOT-23","",""
"Q6, Q12","2","BD139","BD139","Package_TO_SOT_THT:TO-126-3_Vertical","1.5A Ic, 80V Vce, Low Voltage Transistor, TO-126","",""
"Q10","1","BF245A","BF245A","Package_TO_SOT_THT:TO-92_Inline_Wide","50mA Id, 30V Vgs, N-Channel FET Transistor, TO-92","",""
"Q13","1","BD140","BD140","Package_TO_SOT_THT:TO-126-3_Vertical","1.5A Ic, 80V Vce, Low Voltage Transistor, TO-126","",""
"Q14","1","BD911","BD911","Package_TO_SOT_THT:TO-220-3_Vertical","15A, Silicon Power NPN Transistors, TO-220","",""
"Q15","1","BD912","BD912","Package_TO_SOT_THT:TO-220-3_Vertical","BD910, 15A, Silicon Power PNP Transistors, TO-220","",""
"R1","1","1k","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
"R2","1","330","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
"R3","1","5k1","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
"R4","1","10","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
"R5","1","620","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
"R6","1","100","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol","",""
"R7","1","47k","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
"R8","1","470","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
"R9, R13","2","200","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
"R10, R14","2","100","R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor, small symbol","",""
"R11, R15","2","68","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
"R12","1","470","R_Small","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor, small symbol","",""
"R16","1","1k5","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
"R17","1","1k","R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor, small symbol","",""
"R18","1","47k","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol","",""
"R19","1","470","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol","",""
"R20","1","120","R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor, small symbol","",""
"R21","1","3k3","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
"R22","1","100","R_Small","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor, small symbol","",""
"R23","1","2.7","R_Small","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P5.08mm_Vertical","Resistor, small symbol","",""
"R24, R25","2","0.47","R_Small","Resistor_THT:R_Axial_Power_L20.0mm_W6.4mm_P7.62mm_Vertical","Resistor, small symbol","",""
"R26, R27","2","120","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol","",""
"R28","1","10","R_Small","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P7.62mm_Vertical","Resistor, small symbol","",""
"RV1","1","500","R_Potentiometer_Trim","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","Trim-potentiometer","",""
